Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'59969994867,title,en,,,Coat,
COLLECTION,'59969994867,body_html,en,,,"",
COLLECTION,'59969994867,handle,en,,,coat,
COLLECTION,'59970060403,title,en,,,Vest,
COLLECTION,'59970060403,body_html,en,,,"",
COLLECTION,'59970060403,handle,en,,,vest,
COLLECTION,'59970420851,title,en,,,Jacket,
COLLECTION,'59970420851,body_html,en,,,"",
COLLECTION,'59970420851,handle,en,,,jacket,
COLLECTION,'61189193843,title,en,,,OrderlyEmails - Recommended Products,
COLLECTION,'61189193843,body_html,en,,,"<p>This collection is used by the OrderlyEmails app, to make product recommendations in your notification emails, which automatically update over time.</p><ul>
<li>This service is currenty provided for FREE, with any theme purchase.</li>
<li>Recommended products shown in your email are <b>automatically</b> updated every 4 hours, to match this collection.</li>
<li>By default, your Best-Selling products (that are in stock &amp; not already purchased) will be recommended.</li>
<li>You can modify the rules below to change which products are recommended. Products at the top of the list are more likely to be shown.</li>
<li>To enable/disable recommendations in your emails, login to the OrderlyEmails app (Shopify Admin -&gt; Apps) and add the ""Recommended products"" section to an email in the editor.</li>
</ul><p><i>Note: This collection is ""hidden"", it is not be visible on your website.</i></p>",
COLLECTION,'61189193843,handle,en,,,orderlyemails-recommended-products,
COLLECTION,'63954288755,title,en,,,All,
COLLECTION,'63954288755,body_html,en,,,"",
COLLECTION,'63954288755,handle,en,,,all,
COLLECTION,'150787686515,title,en,,,Scarf,
COLLECTION,'150787686515,body_html,en,,,"",
COLLECTION,'150787686515,handle,en,,,scarf,
COLLECTION,'157310779507,title,en,,,Dress,
COLLECTION,'157310779507,body_html,en,,,"",
COLLECTION,'157310779507,handle,en,,,dress,
COLLECTION,'157520265331,title,en,,,SALE,
COLLECTION,'157520265331,body_html,en,,,"",
COLLECTION,'157520265331,handle,en,,,winter-sale,
COLLECTION,'163347431539,title,en,,,Shop Online,
COLLECTION,'163347431539,body_html,en,,,Aktuelle Kollektion +,
COLLECTION,'163347431539,handle,en,,,shop-online,
COLLECTION,'163644735603,title,en,,,Skirt,
COLLECTION,'163644735603,body_html,en,,,"",
COLLECTION,'163644735603,handle,en,,,skirt,
COLLECTION,'277518418105,title,en,,,Denim,
COLLECTION,'277518418105,body_html,en,,,"<p><span data-mce-fragment=""1"">FASSBENDER launches its first <em>iconic classic denim collection.</em></span></p>
<p><span data-mce-fragment=""1"">Based on new, innovative dyeing processes, based on vegetal &amp; mineral colors. The production is non-toxic and environment-friendly, in contrast to conventional denim making. Staying in line with nature's resources, the collection features five different fits in five natural dyes.</span></p>",
COLLECTION,'277518418105,handle,en,,,denim,
COLLECTION,'278127935673,title,en,,,Fall Winter 21,
COLLECTION,'278127935673,body_html,en,,,"",
COLLECTION,'278127935673,handle,en,,,fall-winter-21,
COLLECTION,'278127968441,title,en,,,Spring Summer 22,
COLLECTION,'278127968441,body_html,en,,,"",
COLLECTION,'278127968441,handle,en,,,spring-summer-22,
COLLECTION,'278128033977,title,en,,,Spring Summer 21,
COLLECTION,'278128033977,body_html,en,,,"",
COLLECTION,'278128033977,handle,en,,,spring-summer-21,
COLLECTION,'479522586888,title,en,,,Fall Winter 2022,
COLLECTION,'479522586888,body_html,en,,,"",
COLLECTION,'479522586888,handle,en,,,fall-winter-2022,
COLLECTION,'479522619656,title,en,,,Cruise Collection 2022,
COLLECTION,'479522619656,body_html,en,,,"",
COLLECTION,'479522619656,handle,en,,,cruise-collection-2022,
COLLECTION,'509108355336,title,en,,,Spring Summer 2024,
COLLECTION,'509108355336,body_html,en,,,"",
COLLECTION,'509108355336,handle,en,,,ss24,
DELIVERY_METHOD_DEFINITION,'96321372275,name,en,,,Free Shipping,
DELIVERY_METHOD_DEFINITION,'96321470579,name,en,,,International Shipping,
DELIVERY_METHOD_DEFINITION,'96322977907,name,en,,,Free Shipping,
FILTER,'506790073,label,en,,,Verfügbarkeit,Availability
FILTER,'506822841,label,en,,,Preis,Price
LINK,'72645181555,title,en,,,Account,Konto
